City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Havre-Saint-Pierre,CA,2022-08-11 03:09:50,50.2334,-63.5986,57.81,88,0,8.52,clear sky
1,Alappuzha,IN,2022-08-11 03:09:51,9.49,76.3264,82.0,84,96,8.23,overcast clouds
2,Tasiilaq,GL,2022-08-11 03:09:52,65.6145,-37.6368,37.56,77,89,3.13,overcast clouds
3,Parabel,RU,2022-08-11 03:09:53,58.6978,81.4825,59.85,77,82,8.99,broken clouds
4,Santa Cruz,BO,2022-08-11 03:08:28,-17.8,-63.1667,51.26,76,0,6.91,clear sky
5,Upernavik,GL,2022-08-11 03:09:45,72.7868,-56.1549,40.91,87,100,5.37,overcast clouds
6,Kununurra,AU,2022-08-11 03:09:54,-15.7667,128.7333,82.38,26,0,17.27,clear sky
7,Ancud,CL,2022-08-11 03:09:54,-41.8697,-73.8203,51.22,95,100,14.79,light rain
8,Ushuaia,AR,2022-08-11 03:09:54,-54.8,-68.3,33.46,93,100,3.44,overcast clouds
9,Lensk,RU,2022-08-11 03:09:55,60.7253,114.9278,69.48,53,6,5.41,clear sky
10,Kodiak,US,2022-08-11 03:08:49,57.79,-152.4072,54.91,94,100,6.91,overcast clouds
11,Hithadhoo,MV,2022-08-11 03:09:55,-0.6,73.0833,82.2,72,3,10.11,clear sky
12,Bengkulu,ID,2022-08-11 03:09:56,-3.8004,102.2655,82.54,69,62,2.13,broken clouds
13,Severnyy,RU,2022-08-11 03:09:56,50.677,36.5532,64.44,94,0,11.18,clear sky
14,Yellowknife,CA,2022-08-11 03:08:08,62.456,-114.3525,56.43,59,100,21.59,overcast clouds
15,Arraial Do Cabo,BR,2022-08-11 03:09:57,-22.9661,-42.0278,68.09,67,75,19.75,broken clouds
16,Touros,BR,2022-08-11 03:06:49,-5.1989,-35.4608,72.61,90,33,9.08,scattered clouds
17,Cabo San Lucas,MX,2022-08-11 03:09:27,22.8909,-109.9124,85.6,79,98,9.62,overcast clouds
18,Rikitea,PF,2022-08-11 03:05:04,-23.1203,-134.9692,73.33,75,100,22.1,overcast clouds
19,Ostrovnoy,RU,2022-08-11 03:09:57,68.0531,39.5131,58.62,79,100,25.5,overcast clouds
20,Porto Novo,BJ,2022-08-11 03:07:43,6.4965,2.6036,74.05,89,100,8.48,overcast clouds
