City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Alappuzha,IN,82.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
6,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
11,Hithadhoo,MV,82.2,clear sky,-0.6,73.0833,Scoop Guest House
12,Bengkulu,ID,82.54,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Cabo San Lucas,MX,85.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,Kudahuvadhoo,MV,81.07,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
31,Zhuhai,CN,82.85,shower rain,22.2769,113.5678,珠海粤财假日酒店
34,Ahuimanu,US,87.51,clear sky,21.4447,-157.8378,Paradise Bay Resort
37,Clifton,US,79.03,broken clouds,40.8584,-74.1638,Quality Urban Housing
40,San Policarpo,PH,84.04,few clouds,12.1791,125.5072,Agapita M. Nicart
41,Mecca,SA,87.33,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
42,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
46,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
53,Srednekolymsk,RU,78.12,overcast clouds,67.45,153.6833,
66,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
75,Mogadishu,SO,75.56,light rain,2.0371,45.3438,Hotel Juba
78,Dingle,PH,85.41,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
83,Lashio,MM,79.12,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
86,Worland,US,88.88,clear sky,44.0169,-107.9554,Town House Motor Inn
91,Capaci,IT,78.26,clear sky,38.1711,13.2393,Hotel Sirenetta
93,San Patricio,US,87.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
94,Dongying,CN,79.57,overcast clouds,37.4564,118.4856,Wanda Realm
99,Samarai,PG,79.14,overcast clouds,-10.6167,150.6667,Nuli Sapi
108,Tual,ID,79.88,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
117,Yumen,CN,84.65,scattered clouds,40.2833,97.2,
127,Boyolangu,ID,82.42,broken clouds,-8.1181,111.8935,Yos ega cv
135,Oeiras Do Para,BR,76.68,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
138,Pokhara,NP,81.52,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
143,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
147,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
149,Avarua,CK,75.25,clear sky,-21.2078,-159.775,Paradise Inn
150,Xiongzhou,CN,87.21,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
151,Shenjiamen,CN,84.87,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
152,Itoman,JP,86.77,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
157,Hilo,US,89.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
167,Filingue,NE,85.64,few clouds,14.3521,3.3168,
168,Brokopondo,SR,78.78,broken clouds,4.75,-55.1667,Matu Island
169,Vetapalem,IN,84.33,scattered clouds,15.7833,80.3167,Lelavathi hotel
170,Port Keats,AU,85.55,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
178,Korla,CN,89.78,broken clouds,41.7597,86.1469,Gulisitan Hotel
179,Wattegama,LK,83.88,overcast clouds,6.7989,81.4808,
181,Lorengau,PG,83.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
182,Sumenep,ID,85.51,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
183,Itarema,BR,76.55,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
187,Georgetown,MY,87.89,haze,5.4112,100.3354,Cititel Penang
189,Akyab,MM,80.1,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
194,Butaritari,KI,81.88,few clouds,3.0707,172.7902,Isles Sunset Lodge
197,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
201,Xudat,AZ,78.28,clear sky,41.631,48.681,
202,Beyneu,KZ,81.93,clear sky,45.3167,55.2,NUR
203,Virginia Beach,US,78.03,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
204,Svay Rieng,KH,84.27,overcast clouds,11.0879,105.7993,Apsara guesthouse
209,High Rock,BS,83.39,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
213,Houma,US,79.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
219,Buchanan,LR,75.18,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
225,Ormara,PK,84.92,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
227,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
230,West Bay,KY,82.99,few clouds,19.3667,-81.4167,Calypso Cove
231,Barreirinhas,BR,75.72,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
234,Malitubog,PH,86.11,broken clouds,7.3156,124.6381,
237,Faanui,PF,78.3,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
238,Acarau,BR,76.03,broken clouds,-2.8856,-40.12,castelo pizzaria
240,Seondha,IN,84.42,moderate rain,26.1578,78.7797,रामोराम मंदिर (पं. लक्ष्मी कांत दीक्षित)
242,Ha Tinh,VN,83.64,light rain,18.3333,105.9,Phú Quý
246,Luis Correia,BR,76.17,overcast clouds,-2.8792,-41.6669,Hotel Amarração
247,Regidor,CO,78.12,overcast clouds,8.6657,-73.8215,Hotel Charles
248,Tevaitoa,PF,77.81,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
250,Victoria,HK,87.04,light rain,22.2855,114.1577,Mini Central
252,Srandakan,ID,82.72,broken clouds,-7.9386,110.2506,Puri Brata
254,Bac Lieu,VN,80.83,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
255,Mount Isa,AU,78.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
257,Sakakah,SA,88.27,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
262,Canton,CN,85.95,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
263,Bambanglipuro,ID,82.85,broken clouds,-7.95,110.2833,Puri Brata
270,Koson,UZ,75.52,clear sky,39.0375,65.585,Hakimov Alisherning uyi
271,Borba,BR,77.54,light rain,-4.3878,-59.5939,Hotel da Amazônia
278,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
281,Tura,IN,82.15,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
282,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
283,Palitana,IN,81.72,moderate rain,21.5167,71.8333,Sanderao Bhavan
285,Zhob,PK,79.88,scattered clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
286,Gazli,UZ,79.0,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
287,Sao Filipe,CV,77.58,broken clouds,14.8961,-24.4956,Hotel Xaguate
301,Cockburn Town,TC,81.79,clear sky,21.4612,-71.1419,Osprey Beach Hotel
306,Wajima,JP,83.55,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
308,Portland,US,75.15,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
